emp_no,first_name,last_name,title,from_date,to_date,dept_name
50670,Boguslaw,Snedden,Senior Staff,1993-02-20,9999-01-01,Marketing
50831,Marie,Khalid,Senior Engineer,1990-10-27,9999-01-01,Development
51057,Theirry,Albarhamtoshy,Senior Staff,1996-09-26,9999-01-01,Marketing
51060,Youngkon,Rohrbach,Senior Engineer,1998-10-20,9999-01-01,Development
51142,Rosine,Lakshmanan,Senior Engineer,1991-01-31,9999-01-01,Development
51036,Chriss,Fasbender,Staff,1995-05-23,9999-01-01,Sales
52040,Phule,Heijenga,Senior Staff,1998-02-21,9999-01-01,Research
52386,Adas,Denti,Senior Staff,1995-05-30,9999-01-01,Sales
52038,Chikako,Armand,Senior Engineer,1985-05-18,9999-01-01,Production
52040,Phule,Heijenga,Senior Staff,1998-02-21,9999-01-01,Development
52590,Jouni,Munoz,Senior Staff,2000-11-25,9999-01-01,Development
52283,Trygve,Krupka,Senior Staff,2001-03-11,9999-01-01,Research
52590,Jouni,Munoz,Senior Staff,2000-11-25,9999-01-01,Research
52599,Augustine,Mungall,Senior Engineer,1996-08-30,9999-01-01,Production
52639,Arup,Colorni,Senior Staff,1996-02-05,9999-01-01,Sales
52599,Augustine,Mungall,Senior Engineer,1996-08-30,9999-01-01,Customer Service
52770,Shugo,Yurek,Senior Staff,1998-08-28,9999-01-01,Sales
52778,Alain,Penn,Technique Leader,1986-05-03,9999-01-01,Quality Management
53431,Sham,Vasanthakumar,Senior Staff,1985-10-24,9999-01-01,Marketing
52956,Khalil,Picci,Senior Engineer,1992-03-20,9999-01-01,Production
52956,Khalil,Picci,Senior Engineer,1992-03-20,9999-01-01,Quality Management
52970,Lobel,Werthner,Senior Engineer,1997-03-17,9999-01-01,Production
53431,Sham,Vasanthakumar,Senior Staff,1985-10-24,9999-01-01,Customer Service
53278,Premsyl,Lortz,Senior Staff,1999-02-01,9999-01-01,Sales
53499,Zdislav,Mandelberg,Senior Engineer,2000-09-10,9999-01-01,Production
53314,Eberhardt,Carrera,Staff,1999-02-23,9999-01-01,Research
53597,Jiafu,Marchegay,Senior Engineer,1992-03-02,9999-01-01,Development
53874,Bodo,Schade,Senior Staff,1995-02-14,9999-01-01,Marketing
54795,Sumant,Nergos,Senior Staff,2000-05-07,9999-01-01,Production
53924,Arnould,Gaughan,Senior Engineer,1998-01-23,9999-01-01,Production
54198,Shaowen,Segond,Senior Engineer,1993-01-06,9999-01-01,Development
54632,Etsuo,Serot,Senior Staff,1997-06-14,9999-01-01,Finance
54795,Sumant,Nergos,Senior Staff,2000-05-07,9999-01-01,Customer Service
54800,Breannda,Cangellaris,Staff,2000-01-27,9999-01-01,Sales
55640,Adit,Syrotiuk,Senior Engineer,1999-07-16,9999-01-01,Production
55687,Shih,Lindqvist,Senior Engineer,1995-03-29,9999-01-01,Development
56209,Remzi,Douceur,Senior Engineer,1998-12-01,9999-01-01,Production
55799,Jianwen,Litzler,Senior Engineer,1993-06-16,9999-01-01,Production
55857,Adin,Scallan,Senior Staff,1996-09-14,9999-01-01,Sales
56415,Sigeru,Nivat,Senior Staff,1999-10-24,9999-01-01,Finance
56105,Makato,Remmers,Senior Engineer,1994-04-16,9999-01-01,Development
56428,Olivera,Hanabata,Senior Staff,1992-11-09,9999-01-01,Sales
56682,Roded,Picco,Assistant Engineer,1993-11-06,9999-01-01,Development
57934,Sanjoy,Boudaillier,Senior Engineer,1997-12-27,9999-01-01,Development
56829,Nagui,Gruenwald,Engineer,1995-12-24,9999-01-01,Production
56829,Nagui,Gruenwald,Engineer,1995-12-24,9999-01-01,Quality Management
56847,Menkae,Chinin,Senior Engineer,1989-08-19,9999-01-01,Production
56847,Menkae,Chinin,Senior Engineer,1989-08-19,9999-01-01,Quality Management
58454,Ziya,Zambonelli,Engineer,1999-06-29,9999-01-01,Production
58141,Bezalel,Karner,Staff,1994-09-27,9999-01-01,Finance
58147,Shigenori,Sullins,Senior Staff,1988-02-24,9999-01-01,Marketing
58497,Yechiam,Cairo,Senior Staff,1996-07-12,9999-01-01,Marketing
58384,Mariusz,Vural,Senior Engineer,2001-11-14,9999-01-01,Development
58497,Yechiam,Cairo,Senior Staff,1996-07-12,9999-01-01,Sales
58819,Gennady,Liesche,Senior Staff,1987-12-02,9999-01-01,Sales
59195,Ronnie,Pollock,Technique Leader,1990-06-19,9999-01-01,Development
58990,Palash,Trelles,Engineer,1998-11-18,9999-01-01,Development
59640,Zita,Hiltgen,Staff,1999-01-26,9999-01-01,Finance
60000,Heekeun,Emmart,Engineer,2001-09-22,9999-01-01,Development
60091,Surveyors,Bade,Senior Staff,1996-04-10,9999-01-01,Customer Service
59869,Zsolt,Riefers,Senior Staff,1994-09-25,9999-01-01,Marketing
60238,Erzsebet,Claffy,Staff,1997-03-03,9999-01-01,Marketing
59966,Steen,Salvesen,Technique Leader,1993-02-03,9999-01-01,Production
60238,Erzsebet,Claffy,Staff,1997-03-03,9999-01-01,Sales
60559,Jeanna,Stemann,Senior Engineer,1996-08-29,9999-01-01,Production
60875,Rildo,Masaki,Senior Engineer,1997-01-14,9999-01-01,Quality Management
60959,Tetsushi,Sridhar,Senior Staff,1997-01-12,9999-01-01,Marketing
60959,Tetsushi,Sridhar,Senior Staff,1997-01-12,9999-01-01,Sales
60821,Moty,Mersereau,Senior Staff,1999-09-03,9999-01-01,Human Resources
61377,Dannz,Ohori,Senior Staff,1994-01-17,9999-01-01,Production
60845,Bedir,Siegrist,Engineer,1997-05-13,9999-01-01,Production
61147,Leszek,Werthner,Staff,1999-03-03,9999-01-01,Marketing
61377,Dannz,Ohori,Senior Staff,1994-01-17,9999-01-01,Customer Service
61253,Cheong,Uhrik,Senior Engineer,2001-06-04,9999-01-01,Development
62033,Heeju,Cappelli,Senior Engineer,1994-01-15,9999-01-01,Production
61253,Cheong,Uhrik,Senior Engineer,2001-06-04,9999-01-01,Research
61541,Kasidit,Papsdorf,Senior Engineer,1999-08-17,9999-01-01,Development
61873,Woody,Rusmann,Engineer,2002-02-26,9999-01-01,Quality Management
62046,Karlis,Nanard,Senior Engineer,2001-09-19,9999-01-01,Production
63419,Hiroyasu,Seuren,Senior Engineer,1989-03-05,9999-01-01,Production
62245,Adel,Bressoud,Engineer,1995-08-30,9999-01-01,Development
63294,Tetsushi,Tanemo,Senior Engineer,2002-03-01,9999-01-01,Production
63566,Heekeun,Slaats,Senior Staff,1999-01-12,9999-01-01,Sales
63631,Falguni,Cherinka,Senior Engineer,1986-09-08,9999-01-01,Production
63631,Falguni,Cherinka,Senior Engineer,1986-09-08,9999-01-01,Customer Service
63441,Hinrich,Scallan,Staff,1999-04-04,9999-01-01,Human Resources
64209,Golgen,Schoegge,Senior Staff,1988-02-26,9999-01-01,Customer Service
63706,Sedat,Itzigehl,Engineer,1997-07-31,9999-01-01,Development
64023,Laurentiu,Benzmuller,Senior Engineer,1999-11-08,9999-01-01,Development
64487,Tsutomu,Rebaine,Senior Engineer,1994-09-17,9999-01-01,Quality Management
64532,Atilio,Segond,Senior Engineer,1996-11-28,9999-01-01,Production
64790,Shin,Piveteau,Senior Engineer,1993-04-19,9999-01-01,Development
64632,Zsolt,Brender,Senior Staff,1996-02-21,9999-01-01,Sales
64828,Krister,Pappas,Staff,1999-09-30,9999-01-01,Sales
64984,Eldridge,Eldridge,Senior Engineer,1991-06-24,9999-01-01,Production
64984,Eldridge,Eldridge,Senior Engineer,1991-06-24,9999-01-01,Quality Management
65539,Aksel,Picaronny,Senior Engineer,1998-01-27,9999-01-01,Development
65171,Jeane,Tasistro,Technique Leader,1994-07-06,9999-01-01,Production
66382,Domenico,Candan,Engineer,1997-07-13,9999-01-01,Production
65883,Patricia,Pepe,Senior Staff,1996-04-18,9999-01-01,Sales
65998,Mandell,Alameldin,Senior Staff,1996-04-08,9999-01-01,Sales
66643,Jianhao,Tomescu,Engineer,1996-08-26,9999-01-01,Production
66530,Dung,Leaver,Staff,1998-04-04,9999-01-01,Research
67320,Sadok,Lorys,Senior Staff,1987-05-10,9999-01-01,Marketing
66702,Deniz,Thibadeau,Senior Engineer,2000-09-26,9999-01-01,Development
66757,Yonghong,Baig,Staff,1999-04-10,9999-01-01,Marketing
66807,Aiman,Rosaz,Senior Engineer,1999-05-22,9999-01-01,Development
67548,Fumitaka,Roohalamini,Staff,1998-06-27,9999-01-01,Human Resources
67934,Aiman,Gargeya,Senior Engineer,1993-03-07,9999-01-01,Production
68416,Munenori,Debuse,Senior Engineer,1990-11-08,9999-01-01,Production
69052,Shietung,Shrader,Senior Staff,1995-08-05,9999-01-01,Sales
68608,Yucai,Seghrouchni,Senior Engineer,1994-06-09,9999-01-01,Production
68633,Chinhyun,Rassart,Senior Engineer,1993-07-29,9999-01-01,Production
68648,Jaques,DiGiano,Technique Leader,1992-04-01,9999-01-01,Development
69867,Miyeon,Rothe,Senior Staff,1997-04-08,9999-01-01,Sales
69219,Shuky,Redmiles,Senior Staff,1994-07-06,9999-01-01,Marketing
69219,Shuky,Redmiles,Senior Staff,1994-07-06,9999-01-01,Sales
69878,Chinya,Cooke,Engineer,1997-01-29,9999-01-01,Development
69936,Lalit,Unni,Assistant Engineer,1998-12-06,9999-01-01,Production
69936,Lalit,Unni,Assistant Engineer,1998-12-06,9999-01-01,Development
70990,Arumugam,Nitta,Senior Engineer,1990-03-23,9999-01-01,Production
70469,Tru,Miyakawa,Senior Staff,1998-09-03,9999-01-01,Marketing
71066,Domenick,Basart,Senior Staff,2001-01-04,9999-01-01,Sales
71243,Kinh,Buchter,Senior Engineer,1993-03-29,9999-01-01,Production
71141,Sajjad,Vitiello,Senior Staff,1997-02-16,9999-01-01,Human Resources
71334,Cathie,Peck,Senior Engineer,1998-04-12,9999-01-01,Development
71188,Pranjal,Schapiro,Senior Staff,1993-12-14,9999-01-01,Sales
71334,Cathie,Peck,Senior Engineer,1998-04-12,9999-01-01,Research
72232,Naraig,Veldwijk,Senior Engineer,1996-07-10,9999-01-01,Quality Management
71685,Kristinn,Olano,Senior Engineer,1989-10-03,9999-01-01,Production
71710,Hitomi,Takanami,Assistant Engineer,1997-12-15,9999-01-01,Development
71745,Adil,Laventhal,Engineer,2001-05-13,9999-01-01,Development
72918,Takahira,Szilard,Senior Staff,1993-01-15,9999-01-01,Sales
72190,Sajjad,Waeselynck,Engineer,1999-09-13,9999-01-01,Development
72194,Feiyu,Siepmann,Senior Engineer,1998-10-01,9999-01-01,Production
72640,Honglan,Hutton,Senior Engineer,1998-10-04,9999-01-01,Quality Management
73233,Shigeo,Merey,Senior Engineer,1985-07-30,9999-01-01,Production
73076,Froduald,Feldhoffer,Senior Engineer,1993-03-16,9999-01-01,Development
73516,Qingxiang,Badache,Senior Engineer,1996-06-25,9999-01-01,Production
74344,Hiroyasu,Provine,Engineer,1994-11-25,9999-01-01,Development
73743,Anneke,Bernardeschi,Engineer,1999-11-01,9999-01-01,Production
73743,Anneke,Bernardeschi,Engineer,1999-11-01,9999-01-01,Customer Service
74200,Holgard,Weiland,Senior Engineer,1991-09-24,9999-01-01,Production
74800,Yuuichi,Conde,Senior Engineer,1999-03-08,9999-01-01,Production
74668,Masako,Bonifati,Senior Staff,1987-04-09,9999-01-01,Sales
75354,Shuky,Jakobus,Senior Engineer,1993-06-16,9999-01-01,Development
75703,Kyoichi,Erman,Senior Engineer,2001-07-25,9999-01-01,Development
76201,Arif,Preusig,Senior Engineer,1992-04-02,9999-01-01,Development
76640,Tristan,Mitsuhashi,Senior Engineer,2000-07-12,9999-01-01,Quality Management
76189,Kolar,Hinsberger,Senior Engineer,1994-10-20,9999-01-01,Production
77030,Faiza,Garnham,Technique Leader,1986-03-02,9999-01-01,Development
